Login ;sfd;Client-sfd;null;Mon Jan 13 14:26:36 CET 2020;null
Chat  ;sfd;Client-sfd;null;Mon Jan 13 14:27:06 CET 2020;sd
Chat  ;sfd;Client-sfd;null;Mon Jan 13 14:27:08 CET 2020;ds
Logout;sfd;Client-sfd;null;Mon Jan 13 14:27:12 CET 2020;null
Login ;Client-Thread-1;Client-Client-Thread-1;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-2;Client-Client-Thread-2;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-3;Client-Client-Thread-3;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-4;Client-Client-Thread-4;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-5;Client-Client-Thread-5;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-6;Client-Client-Thread-6;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-7;Client-Client-Thread-7;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-8;Client-Client-Thread-8;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-9;Client-Client-Thread-9;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-10;Client-Client-Thread-10;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-11;Client-Client-Thread-11;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-12;Client-Client-Thread-12;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-13;Client-Client-Thread-13;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-14;Client-Client-Thread-14;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-15;Client-Client-Thread-15;null;Tue Jan 14 14:43:05 CET 2020;null
Login ;Client-Thread-16;Client-Client-Thread-16;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-17;Client-Client-Thread-17;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-18;Client-Client-Thread-18;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-19;Client-Client-Thread-19;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-20;Client-Client-Thread-20;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-21;Client-Client-Thread-21;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-22;Client-Client-Thread-22;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-23;Client-Client-Thread-23;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-24;Client-Client-Thread-24;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-25;Client-Client-Thread-25;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-26;Client-Client-Thread-26;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-27;Client-Client-Thread-27;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-28;Client-Client-Thread-28;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-29;Client-Client-Thread-29;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-30;Client-Client-Thread-30;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-31;Client-Client-Thread-31;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-32;Client-Client-Thread-32;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-33;Client-Client-Thread-33;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-34;Client-Client-Thread-34;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-35;Client-Client-Thread-35;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-36;Client-Client-Thread-36;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-37;Client-Client-Thread-37;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-38;Client-Client-Thread-38;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-39;Client-Client-Thread-39;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-40;Client-Client-Thread-40;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-41;Client-Client-Thread-41;null;Tue Jan 14 14:43:06 CET 2020;null
Login ;Client-Thread-42;Client-Client-Thread-42;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-43;Client-Client-Thread-43;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-44;Client-Client-Thread-44;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-45;Client-Client-Thread-45;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-46;Client-Client-Thread-46;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-47;Client-Client-Thread-47;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-48;Client-Client-Thread-48;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-49;Client-Client-Thread-49;null;Tue Jan 14 14:43:07 CET 2020;null
Login ;Client-Thread-50;Client-Client-Thread-50;null;Tue Jan 14 14:43:07 CET 2020;null
Chat  ;Client-Thread-42;Client-Client-Thread-42;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-41;Client-Client-Thread-41;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-50;Client-Client-Thread-50;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-43;Client-Client-Thread-43;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-45;Client-Client-Thread-45;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-47;Client-Client-Thread-47;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-49;Client-Client-Thread-49;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-1;Client-Client-Thread-1;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-40;Client-Client-Thread-40;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-46;Client-Client-Thread-46;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-48;Client-Client-Thread-48;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-44;Client-Client-Thread-44;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-47;Client-Client-Thread-47;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-1;Client-Client-Thread-1;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-47;Client-Client-Thread-47;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-38;Client-Client-Thread-38;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-34;Client-Client-Thread-34;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-30;Client-Client-Thread-30;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-26;Client-Client-Thread-26;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-47;Client-Client-Thread-47;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-39;Client-Client-Thread-39;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-36;Client-Client-Thread-36;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-35;Client-Client-Thread-35;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-37;Client-Client-Thread-37;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-45;Client-Client-Thread-45;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-33;Client-Client-Thread-33;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-32;Client-Client-Thread-32;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-27;Client-Client-Thread-27;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-31;Client-Client-Thread-31;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-48;Client-Client-Thread-48;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-28;Client-Client-Thread-28;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-21;Client-Client-Thread-21;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-29;Client-Client-Thread-29;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-16;Client-Client-Thread-16;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-25;Client-Client-Thread-25;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-24;Client-Client-Thread-24;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-23;Client-Client-Thread-23;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-46;Client-Client-Thread-46;null;Tue Jan 14 14:43:07 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-22;Client-Client-Thread-22;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-18;Client-Client-Thread-18;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-15;Client-Client-Thread-15;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-19;Client-Client-Thread-19;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-20;Client-Client-Thread-20;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-13;Client-Client-Thread-13;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-17;Client-Client-Thread-17;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-34;Client-Client-Thread-34;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-12;Client-Client-Thread-12;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-14;Client-Client-Thread-14;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-11;Client-Client-Thread-11;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-7;Client-Client-Thread-7;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-1;Client-Client-Thread-1;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-10;Client-Client-Thread-10;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-49;Client-Client-Thread-49;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-14;Client-Client-Thread-14;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-6;Client-Client-Thread-6;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-9;Client-Client-Thread-9;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-39;Client-Client-Thread-39;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-8;Client-Client-Thread-8;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-25;Client-Client-Thread-25;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-3;Client-Client-Thread-3;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-40;Client-Client-Thread-40;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-21;Client-Client-Thread-21;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-43;Client-Client-Thread-43;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-3;Client-Client-Thread-3;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-41;Client-Client-Thread-41;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-34;Client-Client-Thread-34;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-47;Client-Client-Thread-47;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-42;Client-Client-Thread-42;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-2;Client-Client-Thread-2;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-4;Client-Client-Thread-4;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-10;Client-Client-Thread-10;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-5;Client-Client-Thread-5;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-44;Client-Client-Thread-44;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
Chat  ;Client-Thread-42;Client-Client-Thread-42;null;Tue Jan 14 14:43:08 CET 2020;++++++++++++++++++++
